                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88344,                 3.2959,                 1.2479,                0.00335,                      1,                0.13575,                0.09882,                0.37069,                 3.2749,                0.91742,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                0.79578,                 3.3137,                  1.192,                0.00336,                      1,                 0.2487,                0.20937,                0.32997,                  3.267,                0.88934,             6.1263e-05,             6.1263e-05,             6.1263e-05
                      3,                0.62881,                 3.1616,                  1.159,                0.00342,                      1,                0.49978,                0.48078,                0.28394,                 3.2501,                0.83502,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                0.57242,                 2.8622,                 1.0534,                0.00348,                      1,                0.64406,                0.60444,                0.27263,                 3.2077,                0.83133,             0.00012933,             0.00012933,             0.00012933
                      5,                0.47564,                  2.539,                 1.0046,                0.00366,                      1,                0.69041,                  0.646,                0.29838,                 3.1279,                0.83165,             0.00016114,             0.00016114,             0.00016114
                      6,                0.51928,                 2.1616,                 1.0131,                0.00381,                      1,                0.66441,                0.60223,                0.34956,                 3.0545,                 0.8857,             0.00019146,             0.00019146,             0.00019146
                      7,                0.50474,                 2.0525,                 1.0248,                0.00386,                      1,                0.58375,                0.53197,                0.37947,                 2.9658,                0.92966,              0.0002203,              0.0002203,              0.0002203
                      8,                0.41455,                 1.9778,                0.93664,                0.00371,                      1,                0.55046,                0.50315,                0.38708,                 2.9213,                0.93402,             0.00024765,             0.00024765,             0.00024765
                      9,                0.46251,                 1.8589,                 0.9924,                0.00353,                      1,                0.57783,                0.55676,                0.38803,                 2.9235,                0.91093,             0.00027352,             0.00027352,             0.00027352
                     10,                0.52286,                 1.6585,                 1.0223,                 0.0035,                      1,                0.61938,                0.58908,                0.40108,                 2.9396,                0.91883,              0.0002979,              0.0002979,              0.0002979
                     11,                0.47727,                 1.6125,                0.98373,                0.00346,                      1,                0.63297,                0.57904,                 0.4446,                 2.8777,                0.94771,              0.0003208,              0.0003208,              0.0003208
