                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8569,                 4.3569,                 1.5457,                0.07082,                0.06086,                0.04501,                0.03165,                 1.7965,                 4.2871,                 1.3506,                0.00013,                0.00013,                0.00013
                      2,                 1.7255,                 3.6468,                 1.3933,                0.03038,                0.62116,                 0.0906,                0.05321,                 1.7406,                 3.5856,                 1.3046,             0.00026369,             0.00026369,             0.00026369
                      3,                 1.7063,                 3.0557,                 1.3866,                0.31259,                0.19404,                0.19422,                0.11727,                 1.7943,                 2.9009,                 1.4027,             0.00039604,             0.00039604,             0.00039604
                      4,                 1.7442,                 2.7102,                 1.3978,                0.34477,                0.26264,                 0.2686,                0.15721,                 1.8114,                 2.4634,                 1.4112,             0.00049257,             0.00049257,             0.00049257
                      5,                 1.6951,                 2.4931,                  1.393,                0.34854,                0.32145,                 0.2626,                0.15011,                 1.7769,                 2.2277,                 1.4156,             0.00049257,             0.00049257,             0.00049257
                      6,                 1.6898,                 2.3422,                 1.3829,                0.30308,                0.45479,                0.32095,                0.17936,                  1.761,                 2.0726,                 1.3858,              0.0004901,              0.0004901,              0.0004901
                      7,                 1.6751,                 2.2349,                 1.3516,                0.37139,                0.39099,                0.37636,                0.22132,                 1.7712,                 1.9744,                 1.3808,             0.00048762,             0.00048762,             0.00048762
                      8,                 1.6616,                 2.1578,                 1.3755,                0.49068,                0.37944,                0.37439,                0.23219,                 1.7213,                  2.105,                 1.3533,             0.00048515,             0.00048515,             0.00048515
                      9,                 1.6123,                 2.0735,                 1.3367,                0.36472,                0.47544,                0.44205,                0.27416,                 1.7305,                  1.797,                 1.3648,             0.00048267,             0.00048267,             0.00048267
                     10,                 1.5952,                 1.9708,                 1.3057,                0.47877,                0.46356,                0.42188,                0.24966,                 1.7419,                 1.7936,                 1.3527,              0.0004802,              0.0004802,              0.0004802
                     11,                 1.5963,                 1.8501,                 1.3066,                0.43318,                0.53179,                0.45273,                0.26128,                 1.7411,                 1.6554,                 1.3683,             0.00047772,             0.00047772,             0.00047772
                     12,                 1.6042,                 1.8422,                 1.3049,                0.43278,                0.52535,                0.44147,                0.26263,                 1.6974,                 1.7528,                 1.3318,             0.00047525,             0.00047525,             0.00047525
                     13,                 1.5601,                 1.7277,                 1.2825,                0.57604,                0.49488,                0.49998,                0.30186,                  1.715,                 1.6334,                 1.3356,             0.00047277,             0.00047277,             0.00047277
                     14,                 1.5718,                 1.7465,                 1.2717,                0.49684,                 0.5045,                0.50215,                 0.2999,                 1.7362,                 1.5775,                 1.3578,              0.0004703,              0.0004703,              0.0004703
                     15,                  1.566,                 1.7258,                 1.3095,                0.52777,                0.54708,                 0.5333,                0.32952,                 1.6811,                 1.5204,                 1.3163,             0.00046783,             0.00046783,             0.00046783
                     16,                 1.5031,                 1.6245,                  1.269,                0.54294,                0.49135,                0.54431,                0.33602,                 1.6846,                  1.487,                 1.3112,             0.00046535,             0.00046535,             0.00046535
                     17,                 1.5333,                 1.5921,                 1.2929,                0.54267,                0.55316,                0.53693,                0.32992,                 1.7031,                 1.5011,                 1.3005,             0.00046288,             0.00046288,             0.00046288
                     18,                 1.5213,                 1.6245,                 1.2805,                0.52893,                0.59121,                0.54862,                 0.3335,                 1.7091,                 1.4799,                 1.3591,              0.0004604,              0.0004604,              0.0004604
                     19,                 1.5313,                 1.5857,                 1.2766,                0.60602,                0.54852,                0.57945,                0.35734,                 1.7071,                 1.4174,                 1.3444,             0.00045793,             0.00045793,             0.00045793
                     20,                 1.4869,                  1.553,                 1.2742,                0.51608,                0.54943,                0.55021,                0.33062,                 1.6686,                 1.4265,                 1.3027,             0.00045545,             0.00045545,             0.00045545
                     21,                   1.45,                 1.4509,                 1.2329,                0.52508,                0.57523,                0.55428,                0.34339,                 1.7148,                 1.4522,                  1.327,             0.00045298,             0.00045298,             0.00045298
                     22,                 1.4896,                 1.4608,                 1.2669,                0.52947,                0.54682,                0.55105,                0.33055,                  1.698,                  1.365,                 1.3213,              0.0004505,              0.0004505,              0.0004505
                     23,                  1.474,                 1.4236,                 1.2316,                0.56966,                0.55609,                0.57488,                 0.3538,                 1.6775,                 1.4094,                 1.3115,             0.00044803,             0.00044803,             0.00044803
                     24,                 1.4605,                 1.3986,                 1.2408,                0.54507,                0.60535,                0.57805,                0.35962,                 1.6769,                 1.3986,                 1.3009,             0.00044555,             0.00044555,             0.00044555
                     25,                 1.4468,                  1.437,                 1.2418,                0.61182,                0.52409,                0.54159,                0.33813,                 1.6738,                  1.516,                 1.3081,             0.00044308,             0.00044308,             0.00044308
                     26,                 1.4724,                 1.4119,                  1.238,                 0.6106,                0.54876,                 0.5913,                0.37026,                 1.6868,                  1.405,                 1.3287,              0.0004406,              0.0004406,              0.0004406
