                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80464,                 3.3184,                 1.1657,                0.00334,                      1,                 0.1556,                0.12252,                0.37286,                 3.2734,                0.92044,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                0.72222,                 3.2647,                 1.1553,                0.00336,                      1,                0.54826,                0.52143,                0.30002,                 3.2513,                0.85263,             8.5768e-05,             8.5768e-05,             8.5768e-05
                      3,                 0.4947,                 2.9119,                  1.023,                0.00353,                      1,                0.69269,                0.65796,                0.28711,                 3.2012,                0.82822,             0.00013205,             0.00013205,             0.00013205
                      4,                0.51139,                 2.4391,                 1.0342,                0.00376,                      1,                0.69276,                0.64189,                0.37139,                 3.0368,                0.91775,             0.00017636,             0.00017636,             0.00017636
                      5,                0.51071,                 2.1353,                 1.0408,                0.00389,                      1,                0.55146,                0.50846,                0.38751,                 2.9462,                0.93377,             0.00021869,             0.00021869,             0.00021869
                      6,                0.50313,                 1.8497,                 1.0089,                0.00371,                      1,                0.55733,                0.51629,                0.37696,                 2.8714,                0.93155,             0.00025904,             0.00025904,             0.00025904
                      7,                0.46943,                 1.6665,                 1.0057,                 0.0036,                      1,                0.54848,                0.51407,                0.39593,                 2.8505,                0.91936,              0.0002974,              0.0002974,              0.0002974
                      8,                0.49869,                 1.5226,                0.99574,                 0.8642,                0.38084,                0.78733,                0.71446,                0.42007,                 2.7297,                0.93057,             0.00033379,             0.00033379,             0.00033379
                      9,                0.50861,                 1.3646,                0.98143,                0.82705,                0.40468,                0.84812,                0.78785,                 0.3957,                 2.5736,                0.94183,              0.0003682,              0.0003682,              0.0003682
                     10,                 0.5301,                 1.2496,                 1.0111,                0.90848,                0.55918,                0.83943,                0.76938,                0.42932,                 2.3471,                0.97193,             0.00040063,             0.00040063,             0.00040063
                     11,                0.49339,                 1.2564,                0.98947,                0.80705,                 0.6875,                0.96167,                0.84317,                0.55062,                 2.0103,                 1.0761,             0.00043108,             0.00043108,             0.00043108
                     12,                0.52269,                 1.1162,                0.99632,                0.94408,                0.94042,                  0.995,                0.84419,                0.59823,                 1.7352,                 1.1244,             0.00045954,             0.00045954,             0.00045954
                     13,                 0.4788,                 1.0729,                0.99396,                0.92312,                0.87026,                  0.995,                0.85037,                0.56508,                 1.8696,                 1.0313,             0.00048603,             0.00048603,             0.00048603
                     14,                0.46439,                  1.053,                0.96849,                0.89796,                0.93562,                  0.995,                0.83674,                0.57142,                 1.6602,                 1.0219,             0.00051054,             0.00051054,             0.00051054
                     15,                0.51512,                0.98834,                0.97239,                0.88744,                 0.9704,                  0.995,                0.85831,                0.55481,                 1.3338,                  1.023,             0.00053306,             0.00053306,             0.00053306
                     16,                0.47254,                  1.036,                0.97543,                0.95949,                0.98891,                  0.995,                 0.9031,                0.48464,                  1.204,                0.94398,             0.00055361,             0.00055361,             0.00055361
                     17,                0.46772,                0.93011,                0.95612,                0.96095,                 0.9639,                  0.995,                0.90302,                0.49101,                 1.1888,                0.95251,             0.00057218,             0.00057218,             0.00057218
                     18,                0.57771,                0.99393,                 1.0351,                0.89538,                      1,                  0.995,                 0.9379,                0.46306,                  1.254,                0.94333,             0.00058877,             0.00058877,             0.00058877
                     19,                 0.4724,                0.99888,                0.95962,                0.94637,                      1,                  0.995,                0.91483,                0.46841,                 1.1553,                0.94381,             0.00060338,             0.00060338,             0.00060338
