                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83829,                 3.9856,                 3.3232,                 1.1335,                0.00337,                      1,                0.30657,                0.25503,                0.00337,                      1,                0.28625,                 0.2556,                0.24967,                0.79269,                 3.2657,                0.88214,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                0.78854,                 3.8677,                 3.3249,                 1.1513,                0.00334,                      1,                0.29315,                0.26892,                0.00334,                      1,                0.29101,                0.27225,                0.22847,                0.66929,                 3.2543,                 0.8439,             8.5768e-05,             8.5768e-05,             8.5768e-05
                      3,                0.47733,                 1.4855,                 3.0532,                0.98635,                0.00343,                      1,                0.63522,                0.56583,                0.00343,                      1,                0.63522,                0.57059,                0.23223,                0.34791,                 3.2159,                0.80483,             0.00013205,             0.00013205,             0.00013205
                      4,                0.40482,                0.48694,                 2.5403,                0.94556,                0.00353,                      1,                0.74604,                0.65333,                0.00353,                      1,                0.74604,                0.69567,                0.25826,                0.22359,                 3.0824,                0.80152,             0.00017636,             0.00017636,             0.00017636
                      5,                0.36133,                0.34786,                 2.0856,                0.89685,                0.00348,                      1,                0.67479,                0.65255,                0.00348,                      1,                0.67479,                0.67479,                0.31071,                0.22524,                 2.9609,                0.85493,             0.00021869,             0.00021869,             0.00021869
                      6,                0.45616,                0.34162,                 1.8975,                0.93148,                0.00342,                      1,                0.61135,                0.58702,                0.00342,                      1,                0.61135,                0.60818,                0.34379,                0.19899,                 2.9099,                0.86526,             0.00025904,             0.00025904,             0.00025904
                      7,                0.39851,                0.33928,                 1.7307,                0.89414,                      1,                0.21855,                 0.6388,                0.62569,                      1,                0.21855,                 0.6388,                0.63517,                0.35566,                0.20471,                 2.7754,                0.89007,              0.0002974,              0.0002974,              0.0002974
                      8,                0.42909,                0.33488,                 1.5596,                0.94408,                0.69817,                 0.4375,                0.69821,                0.66643,                0.69817,                 0.4375,                0.69821,                0.69558,                0.39664,                0.20252,                 2.4933,                0.90492,             0.00033379,             0.00033379,             0.00033379
                      9,                0.47371,                0.37804,                 1.4779,                 0.9433,                0.85597,                 0.4375,                0.76259,                0.69641,                0.85597,                 0.4375,                0.76259,                0.75015,                0.41955,                0.25921,                 2.2612,                0.89528,              0.0003682,              0.0003682,              0.0003682
                     10,                 0.4582,                0.32899,                 1.4573,                0.92421,                0.87339,                  0.625,                  0.945,                0.87967,                0.87339,                  0.625,                  0.945,                0.93043,                0.37733,                0.24557,                 2.0355,                0.87325,             0.00040063,             0.00040063,             0.00040063
                     11,                0.41955,                0.34759,                 1.2401,                0.90995,                0.93689,                0.91875,                0.96375,                0.88635,                0.93689,                0.91875,                0.96375,                0.95751,                0.37633,                0.17534,                 1.7564,                0.88466,             0.00043108,             0.00043108,             0.00043108
                     12,                0.39766,                0.25032,                 1.1328,                0.89305,                0.87577,                 0.9375,                 0.9575,                0.84762,                0.87577,                 0.9375,                 0.9575,                0.92582,                0.43445,                0.18652,                 1.7739,                0.91155,             0.00045954,             0.00045954,             0.00045954
                     13,                0.39625,                0.45243,                 1.0865,                0.91335,                0.92904,                0.89692,                 0.9825,                0.92982,                0.92904,                0.89692,                 0.9825,                0.95075,                0.39478,                 0.2526,                 1.7515,                0.87545,             0.00048603,             0.00048603,             0.00048603
                     14,                0.42607,                0.30557,                  1.072,                0.90093,                0.90645,                0.96758,                  0.995,                0.92644,                0.90645,                0.96758,                  0.995,                 0.9732,                0.38325,                0.30547,                 1.5949,                0.88011,             0.00051054,             0.00051054,             0.00051054
                     15,                0.40354,                0.34005,                 1.0031,                0.90415,                 0.9358,                0.90006,                 0.9825,                0.91224,                 0.9358,                0.90006,                 0.9825,                 0.9825,                0.39173,                0.30513,                  1.518,                0.91148,             0.00053306,             0.00053306,             0.00053306
