                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2374,                 5.7869,                 4.5579,                 1.5576,                0.00334,                      1,                0.20659,                0.17203,                0.00334,                      1,                0.18515,                0.16554,                0.25819,                0.79487,                 3.2583,                 0.8525,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                 1.1819,                  5.203,                 4.4009,                 1.4557,                0.00333,                      1,                0.27199,                0.25024,                0.00333,                      1,                0.26781,                0.25346,                0.27439,                0.75567,                 3.2599,                0.85736,             7.8838e-05,             7.8838e-05,             7.8838e-05
                      3,                0.95612,                 2.9198,                 4.0603,                 1.3396,                0.00333,                      1,                0.45813,                0.43239,                0.00333,                      1,                0.45813,                0.43626,                0.26997,                0.57997,                  3.247,                0.84168,             0.00011028,             0.00011028,             0.00011028
                      4,                0.56586,                0.80624,                  3.535,                 1.1343,                0.00332,                      1,                0.55522,                0.51516,                0.00332,                      1,                0.55927,                 0.5279,                0.30306,                 0.4813,                  3.214,                0.83407,             0.00013181,             0.00013181,             0.00013181
                      5,                0.40464,                0.37228,                 2.8788,                0.98534,                0.00333,                      1,                0.67657,                 0.6335,                0.00333,                      1,                0.67657,                 0.6554,                0.30296,                0.43087,                 3.1746,                0.82517,             0.00014345,             0.00014345,             0.00014345
                      6,                0.36473,                0.31748,                 2.5881,                0.93979,                0.00336,                      1,                0.75602,                 0.6841,                0.00336,                      1,                0.75602,                0.71899,                0.32606,                0.38912,                 3.1117,                  0.829,             0.00014519,             0.00014519,             0.00014519
                      7,                0.33622,                0.26287,                 2.3846,                0.94543,                0.00342,                      1,                0.75393,                0.68128,                0.00342,                      1,                0.75393,                0.71242,                0.33234,                0.39117,                 3.0232,                0.83133,             0.00013703,             0.00013703,             0.00013703
                      8,                0.32794,                0.25033,                 2.2005,                0.90207,                0.00345,                      1,                0.75564,                0.70634,                0.00345,                      1,                0.75564,                0.72595,                0.31064,                0.38871,                 2.9291,                0.83543,             0.00011896,             0.00011896,             0.00011896
                      9,                0.33326,                0.24773,                 2.2191,                0.92413,                0.00344,                      1,                0.81742,                0.77957,                0.00344,                      1,                0.81742,                0.79831,                0.31048,                0.34638,                 2.8534,                0.84273,                9.1e-05,                9.1e-05,                9.1e-05
                     10,                0.31495,                0.23898,                 2.0908,                0.89772,                0.00344,                      1,                0.83481,                0.79652,                0.00344,                      1,                0.83481,                0.82165,                0.31439,                0.31277,                 2.7938,                0.83979,             5.3137e-05,             5.3137e-05,             5.3137e-05
