                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.28148,                0.21149,                 1.5709,                0.85855,                0.92428,                 0.9925,                  0.995,                0.97979,                0.92428,                 0.9925,                  0.995,                  0.995,                0.25742,                0.19598,                 1.7286,                0.84387,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                0.28105,                0.18315,                 1.4138,                0.87314,                0.82425,                0.86706,                  0.995,                0.96067,                0.82425,                0.86706,                  0.995,                  0.995,                0.30493,                0.18928,                 1.8844,                0.87732,             7.8838e-05,             7.8838e-05,             7.8838e-05
                      3,                0.31834,                0.21219,                 1.3593,                0.85129,                 0.8896,                0.97282,                  0.995,                0.97153,                 0.8896,                0.97282,                  0.995,                0.98598,                0.30861,                0.19949,                  1.522,                0.87347,             0.00011028,             0.00011028,             0.00011028
                      4,                 0.3353,                 0.1983,                 1.4282,                0.88424,                0.89691,                0.96848,                  0.995,                0.97028,                0.89691,                0.96848,                  0.995,                0.98674,                0.30315,                0.22153,                 1.5887,                0.84939,             0.00013181,             0.00013181,             0.00013181
                      5,                0.30502,                   0.19,                 1.4445,                0.87654,                0.89398,                0.97315,                  0.995,                0.97284,                0.89398,                0.97315,                  0.995,                0.98633,                0.29735,                0.22528,                 1.6146,                0.85009,             0.00014345,             0.00014345,             0.00014345
                      6,                0.30657,                0.21903,                 1.3732,                0.85756,                0.89057,                0.97312,                  0.995,                0.97105,                0.89057,                0.97312,                  0.995,                  0.995,                0.29532,                0.22027,                  1.555,                0.84573,             0.00014519,             0.00014519,             0.00014519
                      7,                0.28948,                0.18392,                 1.3144,                0.86321,                0.96566,                0.89774,                  0.995,                0.96831,                0.96566,                0.89774,                  0.995,                0.99103,                0.29767,                0.22189,                 1.4669,                0.84703,             0.00013703,             0.00013703,             0.00013703
                      8,                0.30306,                0.17789,                 1.2304,                0.88729,                0.92857,                0.89706,                  0.995,                0.99251,                0.92857,                0.89706,                  0.995,                0.99122,                 0.2773,                0.21673,                 1.3494,                0.84594,             0.00011896,             0.00011896,             0.00011896
                      9,                0.27445,                0.18614,                 1.2984,                0.82453,                0.91729,                0.91357,                  0.995,                  0.995,                0.91729,                0.91357,                  0.995,                  0.995,                0.26462,                0.20798,                   1.24,                0.84276,                9.1e-05,                9.1e-05,                9.1e-05
                     10,                0.26071,                0.15334,                 1.3531,                0.87962,                0.90519,                0.92332,                  0.995,                0.99027,                0.90519,                0.92332,                  0.995,                  0.995,                0.25904,                0.20331,                 1.1712,                0.83547,             5.3137e-05,             5.3137e-05,             5.3137e-05
